Satellite,Latitude,Longitude,Altitude (km),Coverage Area (km^2)
STARLINK-2282,-51.19424350103391,60.96751783296916,548.6918272856992,162276.4449751342
STARLINK-2285,-46.345966392195855,35.19036170293915,562.7038574429389,170670.43157493844
STARLINK-2294,8.01787210538158,125.00772831707172,546.9290653905392,161235.44082394376
STARLINK-2301,-41.4145219339136,82.27537330612266,562.2224656864455,170378.54022144715
STARLINK-2298,19.78510270614979,-11.76921412417102,545.7059869750748,160515.11674468618
STARLINK-2292,-27.663061569675666,26.647780070263742,554.4505899189772,165700.64608807856
STARLINK-2278,4.580566409425507,4.726776394637358,525.3948972330194,148788.78693261693
STARLINK-2264,-53.203008009943176,28.998084197566676,566.0896702393418,172730.4730048216
STARLINK-2299,-18.741839582422525,168.85678364903026,551.294409222605,163819.53109363737
STARLINK-2268,-6.876765954069227,13.735762603286489,547.8469913727467,161777.1066735946
STARLINK-2267,-18.891468899087997,58.735695556693365,552.7268147557777,164671.92809733667
STARLINK-2286,28.832867449984413,-152.12465695525316,546.7362526938085,161121.77796620122
STARLINK-2288,-46.02302525151655,132.7357258673608,562.3585074481505,170461.0036677237
STARLINK-2295,-51.169117319842194,71.88985661458388,564.175906021953,171564.55654658205
STARLINK-2048,-36.33448832713926,162.21723311061135,558.2434348392537,167975.42578692109
STARLINK-2404,50.377745215733114,78.36445447968607,550.0597158173117,163086.56377091183
STARLINK-2412,-24.188884536612157,3.9440978604873145,555.134390054257,166109.61307669003
STARLINK-2414,-43.97919848808806,-22.644111513189127,560.583739218323,169386.7729454994
STARLINK-2417,51.6928811031151,94.78421802699965,550.4333660208106,163308.20525111636
STARLINK-2418,-7.273300750726109,-170.96427338960035,547.1962082754505,161392.9874706128
STARLINK-2421,-35.84493185689375,-19.149229230543355,557.577641426591,167574.99030159155
STARLINK-2428,10.36748530914607,31.43026334735563,546.6088354147854,161046.68762343313
STARLINK-2430,-37.3908037625839,-141.57911521033364,557.8059603110263,167712.25681133632
STARLINK-2436,-19.82067783446876,-150.58263673658743,553.032736520367,164854.26290239723
STARLINK-2437,53.147133639037456,89.8017708955162,551.1032893557651,163705.9665829314
